timestamp,x,y
1743449143.435633,566,218
1743449143.5353134,557,276
1743449143.6358368,554,342
1743449143.736147,553,392
1743449143.8433237,553,414
1743449143.9362817,553,425
1743449144.031466,553,298
1743449144.126873,559,236
1743449144.2129037,501,205
1743449144.3063495,453,123
1743449144.3949234,429,83
1743449144.4877985,399,63
1743449144.581891,340,31
1743449144.6624615,323,15
1743449144.7580085,303,7
1743449144.8946905,293,3
1743449144.983284,299,1
1743449145.0674956,291,22
1743449145.1550252,336,32
1743449145.2395515,358,16
1743449145.3155801,369,8
1743449145.3891306,369,25
1743449145.4712975,362,34
1743449145.5510657,365,38
1743449145.6285763,367,40
1743449145.7075832,331,20
1743449145.788215,276,10
1743449145.8607678,248,5
1743449145.9418635,228,2
1743449146.0259955,218,1
1743449146.0978186,213,0
1743449146.1766238,211,0
1743449146.2557797,216,21
1743449146.3379517,311,163
1743449146.4087944,364,168
1743449146.4834845,391,171
1743449146.5590608,404,172
1743449146.6375968,417,151
1743449146.7165968,423,140
1743449146.7931209,421,113
1743449146.8727298,315,78
1743449146.953782,274,39
1743449147.0783525,253,19
1743449147.167728,243,9
1743449147.2412598,244,4
1743449147.3192837,238,2
1743449147.39881,235,1
1743449147.4749222,240,0
1743449147.566456,224,0
1743449147.6499758,247,0
1743449147.7215188,258,0
1743449147.7905195,270,65
1743449147.8670728,276,97
1743449147.946625,280,113
1743449148.0296946,336,121
1743449148.1222138,346,148
1743449148.241771,351,248
1743449148.3300045,372,254
1743449148.4091198,382,258
1743449148.4866252,369,303
1743449148.567588,344,392
1743449148.6645284,313,436
1743449148.7460473,298,458
1743449148.8326828,302,447
1743449148.9067326,298,441
1743449148.984899,302,417
1743449149.065487,304,404
1743449149.1384337,373,442
1743449149.2161832,389,395
1743449149.2997174,398,415
1743449149.3708773,402,425
1743449149.4554906,391,343
1743449149.5284936,410,346
1743449149.612222,420,347
1743449149.6808236,406,260
1743449149.7509604,418,195
1743449149.8269472,436,97
1743449149.931294,445,48
1743449150.0172784,419,24
1743449150.0957696,400,33
1743449150.1962953,353,81
1743449150.2928336,330,105
1743449150.40037,349,183
1743449150.4965792,346,309
1743449150.590902,345,372
1743449150.696794,332,426
1743449150.7753427,319,453
1743449150.8768704,319,467
1743449150.98396,319,473
1743449151.0811846,362,477
1743449151.1743217,366,478
1743449151.266916,361,479
1743449151.363429,358,479
1743449151.4350524,326,435
1743449151.5319552,316,435
1743449151.6116884,311,435
1743449151.6891165,303,413
1743449151.7812967,299,402
1743449151.8611279,297,353
1743449151.9476824,295,329
1743449152.0327601,319,295
1743449152.1333606,331,277
1743449152.2213879,276,291
1743449152.3149836,248,210
1743449152.411198,234,170
1743449152.5023036,227,149
1743449152.596856,218,139
1743449152.6913743,219,134
1743449152.7861497,214,154
1743449152.8813038,223,186
1743449152.9607623,228,202
1743449153.0583982,224,165
1743449153.151474,222,147
1743449153.2471018,234,204
1743449153.3396258,240,167
1743449153.4362042,249,127
1743449153.5298603,229,107
1743449153.6118758,225,53
1743449153.7031038,229,26
1743449153.785665,231,13
1743449153.8790073,226,71
1743449153.9587402,223,100
1743449154.0395803,228,93
1743449154.1331074,224,90
1743449154.2266436,235,88
1743449154.3216825,265,131
1743449154.4142442,274,174
1743449154.509909,278,152
1743449154.600441,280,141
1743449154.6819994,281,201
1743449154.7785454,282,253
1743449154.8679116,282,279
1743449154.9659588,282,292
1743449155.0760427,276,342
1743449155.154727,279,367
1743449155.2632477,299,401
1743449155.354775,303,441
1743449155.4481685,293,460
1743449155.5277996,288,470
1743449155.6212451,297,475
1743449155.717777,271,477
1743449155.8110116,270,478
1743449155.8885815,264,479
1743449155.9867191,261,479
1743449156.082563,302,479
1743449156.1847308,311,480
1743449156.2529063,315,457
1743449156.3513389,317,446
1743449156.434899,336,397
1743449156.5370543,334,373
1743449156.637231,345,382
1743449156.730907,350,321
1743449156.824731,353,291
1743449156.9178438,311,320
1743449157.0131054,290,290
1743449157.1056166,280,319
1743449157.1899533,293,399
1743449157.2803013,300,439
1743449157.3704522,316,460
1743449157.4663265,342,470
1743449157.5585456,361,475
1743449157.640881,371,477
1743449157.7351654,370,478
1743449157.8310275,394,479
1743449157.9131684,424,479
1743449158.004594,439,480
1743449158.1436524,447,480
1743449158.2476766,451,480
1743449158.3330834,447,480
1743449158.4139292,432,480
1743449158.5328248,431,480
1743449158.6777022,424,480
1743449158.780128,415,480
1743449158.875269,416,480
1743449158.9628155,417,480
1743449159.0519369,423,480
1743449159.1668181,463,480
1743449159.2743504,496,480
1743449159.3704693,518,480
1743449159.446562,529,480
1743449159.542832,585,480
1743449159.6400673,612,480
1743449159.7906427,626,480
1743449159.9344718,633,480
1743449160.06727,636,480
1743449160.1652553,638,480
1743449160.2592528,639,480
1743449160.3660564,621,480
1743449160.4745796,599,480
1743449160.5860336,588,480
1743449160.6795282,540,480
1743449160.8220026,497,480
1743449160.945155,426,480
1743449161.0415666,403,480
1743449161.1520355,386,480
1743449161.2500913,377,480
1743449161.3542361,366,480
1743449161.4705987,361,480
1743449161.668282,370,480
1743449161.7612498,363,480
1743449161.8559206,353,480
1743449161.9514508,348,480
1743449162.0636766,346,480
1743449162.170144,345,480
1743449162.266471,338,480
1743449162.357026,341,480
1743449162.4376512,348,480
1743449162.5676422,352,480
1743449162.7160378,379,480
1743449162.8578765,417,480
1743449163.005297,411,480
1743449163.128032,476,480
1743449163.2466452,533,480
1743449163.3940616,543,480
1743449163.4962485,591,480
1743449163.6058116,616,480
1743449163.6985803,628,480
1743449163.8071086,634,480
1743449163.9016168,637,480
1743449164.0124595,638,480
1743449164.1204224,639,480
1743449164.2154424,639,480
1743449164.3404033,639,480
1743449164.4534914,640,480
1743449164.5563707,640,480
1743449164.652599,640,480
1743449164.7607822,640,480
1743449164.8584492,640,480
1743449164.9653244,640,480
1743449165.080904,640,480
1743449165.1673863,640,480
1743449165.3023658,640,480
1743449165.425493,640,480
1743449165.5135546,640,480
1743449165.6206367,640,480
1743449165.7151546,640,480
1743449165.808678,627,480
1743449165.9011946,621,480
1743449165.9972544,599,480
1743449166.0919688,588,480
1743449166.198953,583,480
1743449166.296293,513,480
1743449166.3918133,477,480
1743449166.4841223,466,480
1743449166.58075,460,480
1743449166.6764286,457,480
1743449166.7719603,505,480
1743449166.8682857,529,480
1743449166.9628036,541,480
1743449167.0550601,522,480
1743449167.1480594,476,480
1743449167.2414644,453,480
1743449167.3350346,441,480
1743449167.414202,429,480
1743449167.5117662,417,480
1743449167.6049988,411,480
1743449167.7008102,408,480
1743449167.7945225,407,480
1743449167.8863878,523,480
1743449167.9791014,581,480
1743449168.0738854,611,480
1743449168.1674616,625,480
1743449168.2482204,632,480
1743449168.3453152,636,480
1743449168.4387808,638,480
1743449168.533119,639,480
1743449168.645544,584,480
